"dependency","count","description","keywords"
"react","31","React is a JavaScript library for building user interfaces.","react"
"react-dom","30","React package for working with the DOM.","react"
"axios","21","Promise based HTTP client for the browser and node.js","xhr,http,ajax,promise,node"
"typescript","18","TypeScript is a language for application scale JavaScript development","TypeScript,Microsoft,compiler,language,javascript"
"next","18","The React Framework",""
"react-scripts","12","Configuration and scripts for Create React App.",""
"web-vitals","12","Easily measure performance metrics in JavaScript","crux,performance,metrics,Core Web Vitals,CLS,FCP,FID,INP,LCP,TTFB"
"@reduxjs/toolkit","9","The official, opinionated, batteries-included toolset for efficient Redux development","redux,react,starter,toolkit,reducer,slice,immer,immutable,redux-toolkit"
"react-redux","9","Official React bindings for Redux","react,reactjs,redux"
"react-router-dom","7","Declarative routing for React web applications","react,router,route,routing,history,link"
"styled-components","7","CSS for the <Component> Age. Style components your way with speed, strong typing, and flexibility.","react,css,css-in-js,styled-components,styling"
"react-icons","6","SVG React icons of popular icon packs using ES6 imports",""
"dotting","6","Dotting is a pixel art editor component library for react","React,Component,Pixel,Art,Editor"
"next-redux-wrapper","6","Redux wrapper for Next.js",""
"framer-motion","6","A simple and powerful JavaScript animation library","react animation,react,three,3d,pose,react pose,animation,gestures,drag,spring,popmotion,framer,waapi"
"nanoid","5","A tiny (116 bytes), secure URL-friendly unique string ID generator","uuid,random,id,url"
"redux-logger","5","Logger for Redux","redux,logger,redux-logger,middleware"
"@emotion/react","5","> Simple styling in React.",""
"@mantine/core","5","React components library focused on usability, accessibility and developer experience","components,design,frontend,library,next,nextjs,react,ui,ui-kit"
"@mantine/hooks","5","A collection of 50+ hooks for state and UI management","frontend,hooks,library,next,nextjs,react,react-hooks,state"
"eslint","5","An AST-based pattern checker for JavaScript.","ast,lint,javascript,ecmascript,espree"
"eslint-config-next","5","ESLint configuration used by Next.js.",""
"date-fns","5","Modern JavaScript date utility library",""
"uuid","4","RFC9562 UUIDs","uuid,guid,rfc4122,rfc9562"
"@mantine/form","4","Mantine form management library","form,react,state"
"mongodb","4","The official MongoDB driver for Node.js","mongodb,driver,official"
"react-transition-group","4","A react component toolset for managing animations","react,transition,addons,transition-group,animation,css,transitions"
"nan","3","Native Abstractions for Node.js: C++ header for Node 0.8 -> 22 compatibility",""
"redux","3","Predictable state container for JavaScript apps","redux,reducer,state,predictable,functional,immutable,hot,live,replay,flux,elm"
"ml-matrix","3","Matrix manipulation and computation library","matrix,decomposition,SVD,singular,value,EVD,eigenvalue,LU,Qr,Cholesky,data,mining,datamining,machine,learning"
"three","3","JavaScript 3D library","three,three.js,javascript,3d,virtual-reality,augmented-reality,webgl,webgl2,webaudio,webgpu,webxr,canvas,svg,html5"
