"full_name","description","keywords","dependencies"
"hunkim98/dotting","Dotting is a pixel art editor component library for react","React,Component,Pixel,Art,Editor",""
"hunkim98/toonie","","","@reduxjs/toolkit,@testing-library/jest-dom,@testing-library/react,@testing-library/user-event,@types/jest,@types/node,@types/randomcolor,@types/react,@types/react-dom,@types/redux-logger,anonymous-animals-gen,axios,cloudinary-react,fit-curve,nanoid,randomcolor,react,react-color,react-dom,react-dropzone,react-icons,react-redux,react-router-dom,react-scripts,redux,redux-logger,redux-thunk,styled-components,typescript,web-vitals,yorkie-js-sdk"
"hunkim98/voxeling","","","@react-three/drei,@react-three/fiber,@testing-library/jest-dom,@testing-library/react,@testing-library/user-event,@types/jest,@types/node,@types/react,@types/react-dom,dotting,ml-matrix,react,react-dom,react-scripts,three,typescript,web-vitals"
"hunkim98/nestjs-serverless-jwt-boilerplate","An API Boilerplate to create serverless nestjs backend that uses jwt auth","","@nestjs/common,@nestjs/config,@nestjs/core,@nestjs/jwt,@nestjs/mapped-types,@nestjs/passport,@nestjs/platform-express,@nestjs/swagger,@nestjs/throttler,@prisma/client,aws-lambda,aws-serverless-express,bcryptjs,class-transformer,class-validator,cookie-parser,dotenv,googleapis,handlebars,mysql2,nodemailer,nodemailer-smtp-transport,passport,passport-jwt,passport-local,reflect-metadata,rimraf,rxjs,swagger-ui-express,uuid"
"hunkim98/canvas_with_math","","","file-loader,ml-matrix,rxjs"
"hunkim98/nextjs-client-jwt-boilerplate","A nextjs boilerplate that uses browser jwt cookie auth","","@react-oauth/google,@reduxjs/toolkit,axios,http-proxy,next,next-cookie,next-redux-wrapper,react,react-dom,react-icons,react-redux,redux,redux-logger,styled-components"
"hunkim98/nextjs-admin-jwt-boilerplate","","","@emotion/react,@emotion/server,@emotion/styled,@mantine/core,@mantine/form,@mantine/hooks,@mantine/modals,@mantine/next,@reduxjs/toolkit,axios,next,next-redux-wrapper,react,react-dom,react-icons,react-redux,redux-logger"
"hunkim98/dotting-genai","","","@chakra-ui/icons,@chakra-ui/react,@emotion/react,@emotion/styled,@reduxjs/toolkit,@types/node,@types/react,@types/react-dom,@types/uuid,axios,dotting,eslint,eslint-config-next,framer-motion,mongodb,next,next-redux-wrapper,openai,react,react-dom,react-redux,typescript,uuid"
"hunkim98/multimodal-pixels-genai","","","@adobe/react-spectrum,@react-spectrum/color,@spectrum-icons/workflow,@svgedit/svgcanvas,@types/node,@types/react,@types/react-dom,autoprefixer,axios,bootstrap,canvas,dotting,eslint,eslint-config-next,fabric,fabric-history,jsdom,next,postcss,react,react-bootstrap,react-dom,tailwindcss,typescript"
"hunkim98/react-starter-counter","","","@testing-library/jest-dom,@testing-library/react,@testing-library/user-event,react,react-dom,react-scripts,web-vitals"
